17 11042 55871
0 0 0.0160374 -0.148829
1 0 -0.0534072 -0.148829
0 1 -0.0022006 -0.148126
1 1 -0.0702423 -0.148126
0 2 0.0546177 -0.10248
1 2 -0.0274532 -0.10248
0 3 -0.167044 -0.101778
1 3 -0.244906 -0.101778
0 4 0.0518119 -0.101075
1 4 -0.030259 -0.101075
0 5 -0.143194 -0.0989686
1 5 -0.223862 -0.0996708
0 6 0.117749 -0.0989686
1 6 0.0426929 -0.0989686
0 7 -0.167044 -0.0975641
1 7 -0.244204 -0.0982663
0 8 -0.148806 -0.0954573
1 8 -0.226668 -0.0968618
0 9 -0.13618 -0.0954573
1 9 -0.216848 -0.0961596
0 10 -0.118643 -0.0954573
1 10 -0.200714 -0.0961596
0 11 -0.121449 -0.0947551
1 11 -0.202818 -0.0961596
0 12 -0.000797674 -0.0947551
1 12 -0.0856744 -0.0947551
0 13 -0.106718 -0.0940528
1 13 -0.190192 -0.0940528
0 14 -0.120747 -0.0933505
1 14 -0.202818 -0.0940528
0 15 -0.0190356 -0.0933505
1 15 -0.103912 -0.0933505
0 16 -0.0898832 -0.0926483
1 16 -0.173357 -0.0933505
0 17 -0.0772569 -0.091946
1 17 -0.161432 -0.091946
0 18 -0.0646306 -0.091946
1 18 -0.149507 -0.091946
0 19 0.049006 -0.091946
1 19 -0.0344678 -0.0912438
0 20 -0.148806 -0.0912438
1 20 -0.228772 -0.0926483
0 21 -0.108823 -0.0912438
1 21 -0.192296 -0.091946
0 22 -0.0919875 -0.0905415
1 22 -0.175461 -0.0912438
0 23 -0.140388 -0.089137
1 23 -0.221056 -0.0898393
0 24 0.0328724 -0.0877325
1 24 -0.0513028 -0.0877325
0 25 -0.125658 -0.0870303
1 25 -0.207729 -0.0870303
0 26 0.0209476 -0.086328
1 26 -0.0632277 -0.086328
0 27 -0.114434 -0.0849235
1 27 -0.197207 -0.0856258
0 28 0.00341109 -0.0849235
1 28 -0.0814656 -0.0849235
0 29 -0.0092152 -0.0842213
1 29 -0.0940919 -0.0849235
0 30 -0.0975992 -0.083519
1 30 -0.181073 -0.0842213
0 31 -0.0274532 -0.0828167
1 31 -0.11233 -0.0828167
0 32 0.0546177 -0.0828167
1 32 -0.0281546 -0.0821145
0 33 -0.0856744 -0.0821145
1 33 -0.169148 -0.0821145
0 34 -0.0730481 -0.0821145
1 34 -0.157223 -0.0828167
0 35 -0.0414824 -0.0821145
1 35 -0.126359 -0.0821145
0 36 0.0511104 -0.0821145
1 36 -0.0316619 -0.0814122
0 37 0.0595279 -0.0821145
1 37 -0.022543 -0.0814122
0 38 -0.0597204 -0.0814122
1 38 -0.144597 -0.0814122
0 39 0.0525133 -0.08071
1 39 -0.030259 -0.08071
0 40 -0.141791 -0.0793055
1 40 -0.221758 -0.0800077
0 41 0.0454987 -0.077901
1 41 -0.0372736 -0.0771987
0 42 0.0532148 -0.0771987
1 42 -0.0288561 -0.0771987
0 43 0.0447973 -0.0736874
1 43 -0.0379751 -0.0736874
0 44 0.0454987 -0.0715807
1 44 -0.0365722 -0.0715807
0 45 0.0609309 -0.0715807
1 45 -0.0204386 -0.0715807
0 46 0.0995112 -0.0701762
1 46 0.0258578 -0.0694739
0 47 0.0588265 -0.0680694
1 47 -0.0232444 -0.0673672
0 48 -0.143194 -0.0666649
1 48 -0.222459 -0.0673672
0 49 0.0454987 -0.0645581
1 49 -0.0372736 -0.0645581
0 50 0.0454987 -0.0624514
1 50 -0.0365722 -0.0624514
0 51 0.0426929 -0.0617491
1 51 -0.039378 -0.0617491
0 52 0.0462002 -0.0610469
1 52 -0.0358707 -0.0610469
0 53 0.0588265 -0.0610469
1 53 -0.022543 -0.0603446
0 54 -0.0106181 -0.0596424
1 54 -0.0940919 -0.0603446
0 55 0.0742586 -0.0596424
1 55 -0.00458554 -0.0595019
0 56 0.0440958 -0.0589401
1 56 -0.0386765 -0.0582379
0 57 -0.0548101 -0.0582379
1 57 -0.138985 -0.0589401
0 58 0.0447973 -0.0575356
1 58 -0.0372736 -0.0575356
0 59 0.00130671 -0.0568334
1 59 -0.0828686 -0.0575356
0 60 -0.039378 -0.0554288
1 60 -0.123553 -0.0561311
0 61 -0.0337663 -0.0554288
1 61 -0.11724 -0.0561311
0 62 0.00551547 -0.0554288
1 62 -0.0772569 -0.0554288
0 63 0.0405885 -0.0554288
1 63 -0.0414824 -0.0554288
0 64 -0.0590189 -0.0547266
1 64 -0.142493 -0.0547266
0 65 0.00972423 -0.0540243
1 65 -0.0730481 -0.0540243
0 66 0.058125 -0.0540243
1 66 -0.022543 -0.0540243
0 67 -0.0604218 -0.0533221
1 67 -0.144597 -0.0540243
0 68 0.0349768 -0.0533221
1 68 -0.0470941 -0.0533221
0 69 -0.138284 -0.0526198
1 69 -0.217549 -0.0533221
0 70 -0.0386765 -0.0526198
1 70 -0.122852 -0.0533221
0 71 0.0307681 -0.0526198
1 71 -0.0513028 -0.0526198
0 72 0.0216491 -0.0519176
1 72 -0.0611233 -0.0519176
0 73 0.0279622 -0.0519176
1 73 -0.0541087 -0.0519176
0 74 -0.135478 -0.0512153
1 74 -0.214743 -0.0519176
0 75 -0.065332 -0.0512153
1 75 -0.148806 -0.0519176
0 76 0.105123 -0.0512153
1 76 0.0433943 -0.0505131
0 77 0.0553192 -0.0505131
1 77 -0.0260503 -0.0505131
0 78 -0.137582 -0.0498108
1 78 -0.216848 -0.0505131
0 79 -0.144597 -0.0484063
1 79 -0.223161 -0.0498108
0 80 -0.0611233 -0.0484063
1 80 -0.144597 -0.0484063
0 81 -0.141791 -0.0477041
1 81 -0.221056 -0.0491086
0 82 -0.0562131 -0.0477041
1 82 -0.139687 -0.0484063
0 83 0.0546177 -0.0477041
1 83 -0.0267517 -0.0470018
0 84 -0.143194 -0.0470018
1 84 -0.221056 -0.0477041
0 85 -0.0337663 -0.0462995
1 85 -0.11724 -0.0462995
0 86 -0.143896 -0.0455973
1 86 -0.221758 -0.0462995
0 87 -0.0793613 -0.0455973
1 87 -0.162134 -0.0455973
0 88 -0.0309605 -0.044895
