15 6359 20466
0 100 -0.0572241 0.148903
1 100 -0.040313 0.102443
0 101 0.0110313 0.148903
1 101 0.0244787 0.0938848
0 102 0.341102 0.148903
1 102 0.347215 0.0979603
0 103 -0.0684302 0.150941
1 103 -0.0521304 0.105092
0 104 -0.0307369 0.15196
1 104 -0.0158633 0.099998
0 105 -0.0236058 0.152979
1 105 -0.00934343 0.101017
0 106 0.346196 0.152979
1 106 0.352309 0.102036
0 107 -0.0643553 0.153998
1 107 -0.046018 0.110187
0 108 0.293222 0.155017
1 108 0.300353 0.103055
0 109 0.0191812 0.157054
1 109 0.0314061 0.102036
0 110 0.0222374 0.157054
1 110 0.0342586 0.102443
0 111 -0.0602803 0.158073
1 111 -0.0429618 0.112224
0 112 0.222929 0.158073
1 112 0.231079 0.109779
0 113 0.241266 0.159092
1 113 0.251861 0.113447
0 114 -0.0562054 0.162149
1 114 -0.0390905 0.117115
0 115 0.261641 0.163167
1 115 0.273866 0.121394
0 116 0.0477059 0.166224
1 116 0.058912 0.111205
0 117 0.0538183 0.166224
1 117 0.0650245 0.111205
0 118 0.25451 0.167243
1 118 0.265716 0.126488
0 119 0.0507621 0.170299
1 119 0.0619682 0.1163
0 120 0.217835 0.170299
1 120 0.227411 0.122005
0 121 0.22191 0.170299
1 121 0.231079 0.123228
0 122 0.250435 0.170299
1 122 0.26266 0.128526
0 123 0.0477059 0.171318
1 123 0.058912 0.117319
0 124 -0.0643553 0.172337
1 124 -0.046018 0.128526
0 125 0.0548371 0.172337
1 125 0.0660432 0.118337
0 126 0.365552 0.172337
1 126 0.370646 0.120375
0 127 0.12513 0.173356
1 127 0.128186 0.101017
0 128 -0.0704677 0.174375
1 128 -0.0525379 0.130564
0 129 -0.0612991 0.175394
1 129 -0.0439805 0.130564
0 130 -0.0612991 0.181507
1 130 -0.0439805 0.136677
0 131 0.338046 0.185582
1 131 0.34314 0.132602
0 132 -0.0623178 0.186601
1 132 -0.0449993 0.14279
0 133 0.0527996 0.18762
1 133 0.0640057 0.134639
0 134 -0.0592616 0.189658
1 134 -0.0419431 0.145847
0 135 0.0568745 0.190677
1 135 0.0680807 0.137696
0 136 0.216816 0.190677
1 136 0.227004 0.144828
0 137 -0.0582429 0.193733
1 137 -0.0419431 0.148903
0 138 -0.0531492 0.195771
1 138 -0.0368494 0.150941
0 139 -0.0551866 0.19679
1 139 -0.0378681 0.153998
0 140 -0.0511117 0.19679
1 140 -0.0337931 0.152979
0 141 0.384908 0.19679
1 141 0.388983 0.143809
0 142 0.0762306 0.206978
1 142 0.0874367 0.155017
0 143 0.239229 0.206978
1 143 0.250639 0.167243
0 144 0.0507621 0.207997
1 144 0.0619682 0.156035
0 145 0.199498 0.207997
1 145 0.208667 0.16113
0 146 0.058912 0.209016
1 146 0.0697107 0.157462
0 147 0.211723 0.209016
1 147 0.222521 0.162352
0 148 0.363515 0.209016
1 148 0.36759 0.155017
0 149 0.233116 0.211054
1 149 0.243304 0.170911
0 150 0.240247 0.211054
1 150 0.251454 0.171318
0 151 0.211723 0.212073
1 151 0.220891 0.167243
0 152 0.0263124 0.213092
1 152 0.0385373 0.162149
0 153 0.207648 0.213092
1 153 0.217835 0.167243
0 154 0.401208 0.224299
1 154 0.404264 0.170299
0 155 0.0558558 0.226337
1 155 0.0670619 0.174375
0 156 0.0578933 0.230412
1 156 0.0690994 0.180488
0 157 -0.0429618 0.231431
1 157 -0.026662 0.188639
0 158 0.0599308 0.23245
1 158 0.0711369 0.181507
0 159 -0.0399056 0.233469
1 159 -0.0236058 0.190677
0 160 0.19746 0.234488
1 160 0.206629 0.190473
0 161 -0.0409243 0.235507
1 161 -0.0256432 0.192918
0 162 0.175048 0.236525
1 162 0.184624 0.18925
0 163 -0.0164746 0.245695
1 163 -0.000174789 0.201884
0 164 -0.0419431 0.249771
1 164 -0.0256432 0.209016
0 165 -0.00526848 0.25079
1 165 0.0085864 0.205145
0 166 0.196442 0.255884
1 166 0.206629 0.213092
0 167 0.192367 0.256903
1 167 0.202554 0.214111
0 168 -0.0337931 0.259959
1 168 -0.0174933 0.218186
0 169 0.058912 0.259959
1 169 0.0701181 0.211054
0 170 0.186254 0.259959
1 170 0.19746 0.216148
0 171 0.18931 0.259959
1 171 0.199294 0.216148
0 172 -0.0327744 0.261997
1 172 -0.0174933 0.220224
0 173 0.369627 0.264035
1 173 0.374721 0.214111
0 174 -0.0276807 0.265054
1 174 -0.0121959 0.223484
0 175 0.368608 0.270148
1 175 0.373702 0.219205
0 176 0.37574 0.270148
1 176 0.380833 0.219205
0 177 0.406302 0.270148
1 177 0.410377 0.217167
0 178 0.412414 0.272186
1 178 0.415674 0.216148
0 179 0.204592 0.273204
1 179 0.216409 0.233265
0 180 -0.00832469 0.275242
1 180 0.00593764 0.231431
0 181 0.00390016 0.279318
1 181 0.0171438 0.235507
0 182 -0.00221227 0.280337
1 182 0.0120501 0.237544
0 183 0.000843949 0.280337
1 183 0.0140875 0.236525
0 184 0.182179 0.284412
1 184 0.192367 0.243658
0 185 0.062987 0.289506
1 185 0.0746006 0.241824
0 186 0.0640057 0.293582
1 186 0.0746006 0.246714
0 187 0.0049189 0.305808
1 187 0.0181625 0.263016
0 188 0.0660432 0.317016
1 188 0.0772493 0.272186
0 189 0.0670619 0.321091
1 189 0.078268 0.27728
0 190 -0.0941024 -0.326701
1 190 -0.0647628 -0.353599
0 191 -0.0953249 -0.307139
1 191 -0.0672077 -0.33526
0 192 -0.240801 -0.280241
1 192 -0.210728 -0.327435
0 193 0.479243 -0.276573
1 193 0.491876 -0.310603
0 194 -0.047648 -0.26557
1 194 -0.0219757 -0.297358
0 195 -0.224908 -0.264347
1 195 -0.195569 -0.310807
0 196 0.454794 -0.260679
1 196 0.467426 -0.29532
0 197 -0.210239 -0.252121
1 197 -0.180899 -0.298581
0 198 -0.0170858 -0.252121
