9 9910 36146
0 101 0.496969 -0.091548
1 101 0.360459 -0.01819
0 102 0.344159 -0.0905292
1 102 0.229367 -0.0222654
0 103 0.424639 -0.0905292
1 103 0.290166 -0.01819
0 104 0.483726 -0.0905292
1 104 0.345177 -0.0161523
0 105 0.491876 -0.0905292
1 105 0.354346 -0.0151334
0 106 0.418527 -0.0895103
1 106 0.284053 -0.0171711
0 107 0.454182 -0.0895103
1 107 0.317672 -0.0161523
0 108 0.458257 -0.0884914
1 108 0.321746 -0.0151334
0 109 0.363515 -0.0874726
1 109 0.253491 -0.0202277
0 110 0.482707 -0.0864537
1 110 0.345177 -0.0130957
0 111 0.499007 -0.0854349
1 111 0.362496 -0.0120768
0 112 -0.118348 -0.084416
1 112 -0.237541 -0.0171711
0 113 0.503082 -0.084416
1 113 0.366571 -0.011058
0 114 0.449089 -0.0833971
1 114 0.312578 -0.011058
0 115 -0.346546 -0.0823783
1 115 -0.44842 -0.01819
0 116 -0.338396 -0.0823783
1 116 -0.44027 -0.01819
0 117 -0.18966 -0.0823783
1 117 -0.309871 -0.0151334
0 118 -0.342471 -0.0813594
1 118 -0.444345 -0.01819
0 119 -0.133629 -0.0813594
1 119 -0.252822 -0.0141145
0 120 0.433808 -0.0813594
1 120 0.299334 -0.00902023
0 121 0.457239 -0.0803406
1 121 0.320728 -0.00800137
0 122 0.46437 -0.0793217
1 122 0.327859 -0.00596364
0 123 0.484745 -0.0793217
1 123 0.347215 -0.0069825
0 124 -0.20596 -0.0742274
1 124 -0.325152 -0.0069825
0 125 -0.178454 -0.0721897
1 125 -0.298665 -0.00494478
0 126 -0.176416 -0.0721897
1 126 -0.295609 -0.00494478
0 127 0.309522 -0.0721897
1 127 0.193385 -0.00392592
0 128 -0.17336 -0.0670954
1 128 -0.292553 -0.000869334
0 129 0.32684 -0.0670954
1 129 0.210704 0.00116839
0 130 -0.315984 -0.0650576
1 130 -0.417857 -0.0018882
0 131 -0.320059 -0.0630199
1 131 -0.421729 -0.000258011
0 132 0.329896 -0.0589445
1 132 0.212741 0.00931928
0 133 0.48882 -0.0569067
1 133 0.35944 0.0133947
0 134 0.486782 -0.0528313
1 134 0.358421 0.018489
0 135 0.273866 -0.0487558
1 135 0.163842 0.0164513
0 136 0.30239 -0.0426427
1 136 0.18931 0.0246022
0 137 0.484745 -0.0426427
1 137 0.356384 0.0276588
0 138 0.292203 -0.0416238
1 138 0.180142 0.0246022
0 139 0.393058 -0.0416238
1 139 0.266735 0.0276588
0 140 0.400189 -0.0416238
1 140 0.271828 0.0276588
0 141 0.314615 -0.0406049
1 141 0.199498 0.0266399
0 142 0.436864 -0.0344918
1 142 0.305447 0.0368286
0 143 0.433808 -0.0334729
1 143 0.30239 0.0368286
0 144 0.275903 -0.0324541
1 144 -0.0332227 0.0716329
0 145 0.437883 -0.0314352
1 145 0.307484 0.0398851
0 146 0.392039 -0.0293975
1 146 0.264697 0.0398851
0 147 0.453164 -0.0273597
1 147 0.324803 0.0429417
0 148 0.48882 -0.0171711
1 148 0.360459 0.0531303
0 149 0.382871 -0.0130957
1 149 0.259603 0.0551681
0 150 0.461314 -0.0130957
1 150 0.333971 0.0561869
0 151 0.422602 -0.0018882
1 151 0.295259 0.0673944
0 152 -0.354696 0.00218725
1 152 -0.48 0.0663755
0 153 0.313597 0.00218725
1 153 0.193385 0.0694321
0 154 -0.382202 0.011357
1 154 -0.508525 0.0755453
0 155 0.305447 0.0256211
1 155 0.185236 0.0918471
0 156 0.104755 0.0276588
1 156 -0.0327744 0.0949037
0 157 0.110868 0.0276588
1 157 -0.026662 0.0949037
0 158 0.313597 0.0296965
1 158 0.193385 0.0949037
0 159 0.384908 0.0296965
1 159 0.256547 0.0979603
0 160 0.388983 0.0317342
1 160 0.261641 0.099998
0 161 0.314615 0.0347908
1 161 0.194404 0.101017
0 162 0.499007 0.0378474
1 162 0.366775 0.107334
0 163 0.322765 0.0388663
1 163 0.201535 0.105092
0 164 0.457239 0.0388663
1 164 0.325821 0.10713
0 165 0.534663 0.0388663
1 165 0.408339 0.107334
0 166 0.368608 0.040904
1 166 0.240859 0.108556
0 167 0.533644 0.040904
1 167 0.405894 0.109779
0 168 0.371665 0.0439606
1 168 0.244322 0.111205
0 169 0.534663 0.0439606
1 169 0.405894 0.113447
0 170 0.331934 0.0459983
1 170 0.209685 0.112224
0 171 0.449089 0.0470172
1 171 0.316653 0.115281
0 172 0.503082 0.0470172
1 172 0.370646 0.1163
0 173 0.518363 0.048036
1 173 0.386946 0.117319
0 174 0.491876 0.0490549
1 174 0.35944 0.118337
0 175 0.502063 0.0500738
1 175 0.366571 0.120375
0 176 0.532625 0.0500738
1 176 0.403449 0.11956
0 177 0.533644 0.0521115
1 177 0.404264 0.121394
0 178 0.333971 0.0531303
1 178 0.211723 0.119356
0 179 0.529569 0.0531303
1 179 0.401208 0.122413
0 180 0.497988 0.0561869
1 180 0.366571 0.12547
0 181 -0.0765801 0.0582247
1 181 -0.184566 0.118337
0 182 0.516325 0.0582247
1 182 0.383889 0.127507
0 183 0.519382 0.0612812
1 183 0.387964 0.130564
0 184 -0.128536 0.0673944
1 184 -0.233466 0.126488
0 185 0.497988 0.0673944
1 185 0.368608 0.135658
0 186 0.400189 0.0724887
1 186 0.272847 0.139734
0 187 0.468445 0.0724887
1 187 0.338046 0.140752
0 188 0.353327 0.0735076
1 188 0.23006 0.139734
0 189 0.404264 0.0735076
1 189 0.276922 0.140752
0 190 0.382871 0.0745264
1 190 0.256547 0.141771
0 191 0.465389 0.0745264
1 191 0.33499 0.14279
0 192 0.354346 0.0755453
1 192 0.231079 0.141771
0 193 0.410377 0.0755453
1 193 0.280997 0.14279
0 194 0.417508 0.0765642
1 194 0.288128 0.143809
0 195 0.121055 0.0786019
1 195 -0.0236058 0.145847
0 196 0.393058 0.0786019
1 196 0.264697 0.144828
0 197 0.207648 0.0796207
1 197 0.0753341 0.146458
0 198 0.413433 0.0816585
1 198 0.284053 0.148903
0 199 0.432789 0.0816585
1 199 0.303409 0.148903
0 200 0.429733 0.0826773
1 200 0.299334 0.149922
0 201 0.202554 0.0847151
1 201 0.0711369 0.149922
0 202 0.486782 0.0847151
1 202 0.358421 0.152979
0 203 0.190329 0.0867528
1 203 0.0501509 0.152571
0 204 0.493913 0.0877716
1 204 0.364533 0.156035
0 205 0.489838 0.0887905
1 205 0.360459 0.157054
0 206 0.426676 0.0898094
1 206 0.298315 0.157054
0 207 0.21376 0.0908282
1 207 0.0813243 0.157054
0 208 0.402227 0.092866
1 208 0.274885 0.159092
0 209 0.41547 0.0949037
1 209 0.288128 0.16113
0 210 0.487801 0.0949037
1 210 0.360459 0.162149
0 211 0.00899385 0.0959225
1 211 -0.119367 0.160111
0 212 0.412414 0.0959225
1 212 0.285072 0.163167
0 213 0.429733 0.0959225
1 213 0.301372 0.163167
0 214 0.155692 0.0969414
1 214 0.0140875 0.164186
0 215 0.195423 0.0969414
1 215 0.0619682 0.162149
0 216 0.478632 0.0969414
1 216 0.350271 0.165205
0 217 0.427695 0.0979603
1 217 0.299334 0.165205
0 218 0.41547 0.0989791
1 218 0.288128 0.166224
0 219 0.00695638 0.099998
1 219 -0.121405 0.163167
0 220 0.184217 0.099998
1 220 0.0415935 0.166224
0 221 0.0741931 0.104073
1 221 -0.065374 0.169281
0 222 0.208667 0.104073
1 222 0.0762306 0.169281
0 223 -0.394426 0.106111
1 223 -0.519731 0.166224
0 224 0.137355 0.10713
1 224 -0.003231 0.172337
0 225 0.078268 0.110187
1 225 -0.0612991 0.174375
0 226 0.082343 0.112224
1 226 -0.0582429 0.177431
0 227 -0.417857 0.115281
1 227 -0.543162 0.174375
0 228 0.0752118 0.115281
1 228 -0.065374 0.179469
0 229 0.152636 0.117319
1 229 0.0100126 0.182526
0 230 0.144486 0.120375
1 230 0.000843949 0.185582
0 231 0.160786 0.121394
1 231 0.0181625 0.18762
0 232 0.144486 0.122413
1 232 0.000843949 0.188639
0 233 0.154673 0.122413
1 233 0.0110313 0.188639
0 234 0.0843805 0.123432
1 234 -0.0582429 0.188639
0 235 0.0925304 0.123432
1 235 -0.0490742 0.188639
0 236 0.146523 0.12547
1 236 0.00390016 0.190677
0 237 0.150598 0.12547
1 237 0.00797512 0.191696
0 238 -0.397483 0.152979
1 238 -0.517694 0.207997
0 239 -0.401558 0.160111
1 239 -0.521769 0.215129
0 240 0.0660432 0.16113
1 240 -0.0643553 0.224299
0 241 0.0792868 0.162149
1 241 -0.0521304 0.225318
0 242 0.0650245 0.169281
1 242 -0.065374 0.23245
0 243 0.0833617 0.169281
1 243 -0.0490742 0.23245
0 244 0.0945679 0.184564
1 244 -0.0378681 0.247733
0 245 -0.363864 0.209016
1 245 -0.488965 0.265054
0 246 0.353327 -0.365826
1 246 0.231079 -0.283909
0 247 0.32521 -0.337705
1 247 0.194404 -0.255789
0 248 0.504916 -0.301026
1 248 0.342121 -0.21483
0 249 0.414452 -0.292468
1 249 0.261641 -0.207698
0 250 0.396114 -0.290022
1 250 0.24636 -0.205661
0 251 0.418119 -0.285132
1 251 0.264697 -0.199547
0 252 -0.0745426 -0.283909
1 252 -0.183344 -0.208106
0 253 0.355772 -0.282687
1 253 0.214779 -0.202604
0 254 -0.0831001 -0.279019
1 254 -0.191698 -0.203623
0 255 -0.0574278 -0.276573
1 255 -0.167452 -0.201993
0 256 -0.0757651 -0.272905
1 256 -0.184566 -0.198325
0 257 0.32521 -0.272905
1 257 0.194404 -0.194453
0 258 0.419342 -0.269238
1 258 0.267753 -0.186098
0 259 -0.0623178 -0.268015
1 259 -0.172341 -0.193434
0 260 0.38389 -0.26557
1 260 0.239229 -0.184264
0 261 0.32521 -0.264347
1 261 0.194404 -0.186098
0 262 0.507361 -0.261902
1 262 0.345992 -0.17754
0 263 0.407117 -0.259456
1 263 0.258585 -0.177132
0 264 -0.0623178 -0.258234
1 264 -0.171119 -0.184876
0 265 0.393669 -0.258234
1 265 0.247379 -0.177132
0 266 0.37411 -0.257011
1 266 0.232098 -0.177132
0 267 0.36922 -0.254566
1 267 0.228023 -0.174076
0 268 0.476798 -0.254566
1 268 0.321543 -0.171427
0 269 -0.0574278 -0.253343
1 269 -0.167452 -0.178763
0 270 0.375332 -0.253343
1 270 0.233116 -0.173057
0 271 -0.2897 -0.252121
1 271 -0.395567 -0.179252
0 272 -0.0831001 -0.252121
1 272 -0.192716 -0.178151
0 273 0.402227 -0.252121
1 273 0.25451 -0.171019
0 274 0.467019 -0.252121
1 274 0.311763 -0.168982
0 275 0.470686 -0.252121
1 275 0.315634 -0.168982
0 276 0.480466 -0.252121
1 276 0.323988 -0.168982
0 277 -0.330042 -0.250898
1 277 -0.437621 -0.176317
0 278 0.475576 -0.248453
1 278 0.319709 -0.164906
0 279 0.478021 -0.248453
1 279 0.32032 -0.165314
0 280 -0.3386 -0.241117
1 280 -0.447401 -0.167759
0 281 -0.114885 -0.239894
1 281 -0.218185 -0.17
0 282 -0.334932 -0.238672
1 282 -0.443733 -0.165314
0 283 -0.282365 -0.237449
1 283 -0.388721 -0.164091
0 284 -0.347157 -0.235004
1 284 -0.453513 -0.161646
0 285 -0.0378681 -0.233781
1 285 -0.147892 -0.160423
0 286 -0.27992 -0.232559
1 286 -0.386277 -0.1592
0 287 -0.0965474 -0.232559
1 287 -0.204941 -0.159812
0 288 -0.31415 -0.231336
1 288 -0.420914 -0.157774
0 289 -0.277475 -0.220332
1 289 -0.385054 -0.146974
0 290 -0.288478 -0.216664
1 290 -0.397279 -0.144529
0 291 -0.34349 -0.211774
1 291 -0.452291 -0.139638
0 292 -0.312927 -0.206883
1 292 -0.420506 -0.134748
0 293 0.375332 -0.205661
1 293 0.254306 -0.13108
0 294 0.00369647 -0.204438
1 294 -0.104086 -0.133321
0 295 -0.0513154 -0.201993
1 295 -0.160117 -0.13108
0 296 -0.310482 -0.20077
1 296 -0.417857 -0.129246
0 297 0.37411 -0.20077
1 297 0.253084 -0.127412
0 298 -0.00119353 -0.198325
1 298 -0.109995 -0.127412
0 299 -0.042758 -0.195879
1 299 -0.150337 -0.126189
0 300 0.508583 -0.195879
1 300 0.381852 -0.121095
0 301 0.518363 -0.195879
1 301 0.391021 -0.120076
0 302 -0.0537604 -0.194657
1 302 -0.158894 -0.124967
0 303 -0.0831001 -0.193434
1 303 -0.18966 -0.123133
0 304 -0.0684302 -0.193434
1 304 -0.174786 -0.123744
0 305 0.470686 -0.190989
1 305 0.337435 -0.115186
0 306 0.407117 -0.189766
1 306 0.279978 -0.114982
0 307 0.467019 -0.188544
1 307 0.332545 -0.11274
0 308 0.403449 -0.183653
1 308 0.276311 -0.109072
0 309 0.418119 -0.183653
1 309 0.289147 -0.10785
0 310 -0.0134184 -0.178763
1 310 -0.12222 -0.109072
0 311 -0.00852839 -0.17754
1 311 -0.122423 -0.10785
0 312 -0.10755 -0.173872
1 312 -0.210728 -0.107361
0 313 0.515918 -0.172649
1 313 0.393669 -0.0985578
0 314 0.326433 -0.168982
1 314 0.201739 -0.0956235
0 315 0.402227 -0.168982
1 315 0.276922 -0.0956235
0 316 0.0122538 -0.167759
1 316 -0.0977699 -0.0980687
0 317 -0.298258 -0.165314
1 317 -0.402169 -0.0968461
0 318 0.0122538 -0.164091
1 318 -0.0989924 -0.0956235
0 319 -0.0158633 -0.155533
1 319 -0.12711 -0.087065
0 320 -0.00486096 -0.15431
1 320 -0.11733 -0.0846198
0 321 0.348437 -0.15431
1 321 0.223499 -0.082419
0 322 0.460906 -0.15431
1 322 0.32032 -0.0785066
0 323 0.482911 -0.15431
1 323 0.343547 -0.0785066
0 324 0.332545 -0.153087
1 324 0.207852 -0.0809518
0 325 0.341103 -0.153087
1 325 0.217631 -0.0809518
0 326 0.352105 -0.143306
1 326 0.228634 -0.0711708
0 327 0.467019 -0.142084
1 327 0.329896 -0.0670954
0 328 -0.0953249 -0.137193
1 328 -0.20596 -0.0691331
0 329 0.0073639 -0.137193
1 329 -0.102049 -0.0691331
0 330 -0.361827 -0.13597
1 330 -0.462682 -0.0691331
0 331 0.447459 -0.134748
1 331 0.31054 -0.0599633
0 332 -0.0170858 -0.133525
1 332 -0.12711 -0.0650576
0 333 0.509806 -0.132303
1 333 0.370442 -0.0564992
0 334 0.519585 -0.13108
1 334 0.380222 -0.0564992
0 335 0.445014 -0.127412
1 335 0.308095 -0.0528313
0 336 0.502471 -0.124967
1 336 0.36433 -0.050386
0 337 -0.353269 -0.123744
1 337 -0.455958 -0.0577218
0 338 -0.358159 -0.122521
1 338 -0.459626 -0.0564992
0 339 0.449904 -0.118854
1 339 0.31543 -0.0442728
0 340 2.89711e-05 -0.115186
1 340 -0.108772 -0.0479407
0 341 0.429121 -0.115186
1 341 0.294648 -0.0418276
0 342 -0.0134184 -0.113963
1 342 -0.120997 -0.0467181
0 343 -0.00852839 -0.113963
1 343 -0.116311 -0.0467181
0 344 0.342325 -0.113963
1 344 0.220076 -0.0442728
0 345 -0.358159 -0.10785
1 345 -0.460848 -0.0418276
0 346 -0.355714 -0.105405
1 346 -0.457181 -0.0406049
0 347 0.31543 -0.105405
1 347 0.198072 -0.036937
0 348 0.489023 -0.102959
1 348 0.351127 -0.0296012
0 349 -0.344712 -0.100514
1 349 -0.447401 -0.0357144
0 350 0.491468 -0.100514
1 350 0.35455 -0.027156
0 351 -0.119775 -0.0956235
1 351 -0.238356 -0.0283786
0 352 -0.0513154 -0.0956235
1 352 -0.157623 -0.0313618
0 353 0.356995 -0.0956235
1 353 0.244526 -0.0283786
0 354 -0.123442 -0.0931782
1 354 -0.243246 -0.0247107
0 355 0.453571 -0.0919556
1 355 0.320728 -0.0192088
0 356 0.424232 -0.0907329
1 356 0.289758 -0.0185975
0 357 0.463351 -0.0907329
1 357 0.32684 -0.01819
0 358 0.471908 -0.0907329
1 358 0.33499 -0.0173749
0 359 0.496358 -0.0907329
1 359 0.35944 -0.0173749
0 360 0.453571 -0.0895103
1 360 0.317875 -0.0173749
0 361 0.482911 -0.087065
1 361 0.34477 -0.0124844
0 362 -0.212684 -0.0858424
1 362 -0.330246 -0.01819
0 363 0.498803 -0.0858424
1 363 0.363107 -0.0124844
0 364 -0.130777 -0.0846198
1 364 -0.246913 -0.0173749
0 365 -0.118552 -0.0846198
1 365 -0.2386 -0.0178639
0 366 0.456016 -0.0846198
1 366 0.32032 -0.0124844
0 367 0.503693 -0.0846198
1 367 0.366775 -0.0112617
0 368 0.441346 -0.0833971
1 368 0.30565 -0.0100391
0 369 0.445014 -0.0833971
1 369 0.308503 -0.0100391
0 370 -0.3386 -0.0821745
1 370 -0.440066 -0.0198201
0 371 -0.194346 -0.0821745
1 371 -0.313946 -0.0141145
0 372 0.460906 -0.0821745
1 372 0.32521 -0.0100391
0 373 0.464574 -0.0821745
1 373 0.327655 -0.0100391
0 374 0.445014 -0.0809518
1 374 0.309318 -0.00881644
0 375 0.456016 -0.0809518
1 375 0.321543 -0.00881644
0 376 -0.187011 -0.0797292
1 376 -0.308037 -0.013707
0 377 0.436456 -0.0797292
1 377 0.30239 -0.0069825
0 378 0.464574 -0.0785066
1 378 0.327655 -0.00637118
0 379 0.420564 -0.0760613
1 379 0.287109 -0.00494478
0 380 -0.205349 -0.0748387
1 380 -0.325152 -0.0075938
0 381 -0.342267 -0.0723934
1 381 -0.443733 -0.00881644
0 382 -0.176009 -0.0723934
1 382 -0.295813 -0.00514854
0 383 -0.174786 -0.0699482
1 383 -0.294346 -0.00319231
0 384 0.32032 -0.0687255
1 384 0.201739 -0.000258011
0 385 -0.189456 -0.0675029
1 385 -0.30926 -0.000258011
0 386 0.327655 -0.0662802
1 386 0.208667 0.00320611
0 387 0.430344 -0.0662802
1 387 0.297093 0.00585516
0 388 0.475576 -0.0662802
1 388 0.342121 0.0062627
0 389 -0.172341 -0.0650576
1 389 -0.291412 0.00120915
0 390 -0.169897 -0.0650576
1 390 -0.288478 0.00120915
0 391 0.321543 -0.0650576
1 391 0.203573 0.00320611
0 392 0.470686 -0.0650576
1 392 0.338046 0.00728156
0 393 0.331323 -0.0601671
1 393 0.213231 0.00854497
0 394 0.308095 -0.0577218
1 394 0.193385 0.0103381
0 395 0.326433 -0.0577218
1 395 0.212742 0.00952307
0 396 -0.106327 -0.0540539
1 396 -0.212195 0.0100121
0 397 0.486578 -0.0528313
1 397 0.358217 0.0180815
0 398 0.304428 -0.0516086
1 398 0.190329 0.0154325
0 399 0.484133 -0.0491634
1 399 0.354346 0.0215456
0 400 0.490246 -0.0467181
1 400 0.361477 0.0256211
0 401 0.278756 -0.0430502
1 401 0.16751 0.0229721
0 402 0.398559 -0.0430502
1 402 0.269791 0.0266399
0 403 0.405894 -0.0418276
1 403 0.277941 0.0286777
0 404 0.31543 -0.0406049
1 404 0.200517 0.02664
0 405 0.473131 -0.0393823
1 405 0.34477 0.0303078
0 406 0.435234 -0.0344918
1 406 0.30565 0.036421
0 407 0.500026 -0.0332691
1 407 0.371665 0.0368286
0 408 0.435234 -0.0283786
1 408 0.30565 0.0413116
0 409 -0.394834 -0.0259333
1 409 -0.519731 0.040904
0 410 0.434011 -0.023488
1 410 0.30565 0.0462021
0 411 0.502471 -0.0222654
1 411 0.373702 0.0490549
0 412 0.421787 -0.00148063
1 412 0.294648 0.0669869
0 413 0.312985 0.00218728
1 413 0.193182 0.0694322
0 414 -0.382609 0.0107457
1 414 -0.508525 0.0745672
0 415 0.299538 0.0119683
1 415 0.181161 0.0786019
0 416 0.105163 0.02664
1 416 -0.0329781 0.0938848
0 417 0.430344 0.02664
1 417 0.298315 0.0949037
0 418 0.312985 0.0303078
1 418 0.193182 0.0951075
0 419 0.449904 0.036421
1 419 0.317875 0.104889
0 420 0.3301 0.0376437
1 420 0.207852 0.103666
0 421 0.498803 0.0376437
1 421 0.365797 0.106845
0 422 0.322765 0.0388663
1 422 0.201739 0.104889
0 423 0.449904 0.0413116
1 423 0.31869 0.110187
0 424 0.456016 0.0425342
1 424 0.323988 0.111002
0 425 0.367997 0.0462021
1 425 0.242081 0.113447
0 426 0.448681 0.0462021
1 426 0.316653 0.11467
0 427 0.503693 0.0462021
1 427 0.370442 0.115892
0 428 0.52692 0.0474247
1 428 0.397337 0.117115
0 429 0.491468 0.0486474
1 429 0.35944 0.118337
0 430 0.331323 0.0510926
1 430 0.208667 0.117319
0 431 0.333768 0.0523153
1 431 0.211519 0.118337
0 432 0.511028 0.0523153
1 432 0.379 0.122005
0 433 0.0672657 0.0547605
1 433 -0.0714865 0.121394
0 434 0.498803 0.0547605
1 434 0.366775 0.124451
0 435 -0.0769876 0.0572058
1 435 -0.184322 0.117115
0 436 0.30076 0.0572058
1 436 0.184217 0.122413
0 437 0.306873 0.0596511
1 437 0.18931 0.12547
0 438 0.519585 0.0608737
1 438 0.390735 0.130319
0 439 0.303205 0.0620963
1 439 0.187273 0.127507
0 440 0.397337 0.0645416
1 440 0.269791 0.132602
0 441 0.525698 0.0669869
1 441 0.399537 0.137655
0 442 0.508583 0.0682095
1 442 0.377777 0.136677
0 443 0.394892 0.0694322
1 443 0.267753 0.137696
0 444 0.528143 0.0694322
1 444 0.402471 0.137655
0 445 0.405894 0.0706548
1 445 0.277941 0.137696
0 446 0.435234 0.0718774
1 446 0.304428 0.139734
0 447 0.468241 0.0718774
1 447 0.337435 0.140345
0 448 0.404672 0.0731
1 448 0.276311 0.140345
0 449 0.382667 0.0743227
1 449 0.256751 0.141568
0 450 0.465796 0.0743227
